Date,Spread,ZScore,Signal,PositionSize,Exposure,PnL,Capital,Event
2015-01-05,-23.224036251227233,0.0,1.0,0.0,0.0,-0.0,1000000.0,
2015-01-06,-23.122784180339572,0.0,1.0,0.0,0.0,0.0,1000000.0,
2015-01-07,-23.725282450848283,0.0,1.0,0.0,0.0,-0.0,1000000.0,
2015-01-08,-24.16073085393831,0.0,1.0,0.0,0.0,-0.0,1000000.0,
2015-01-09,-24.424149015215725,0.0,1.0,0.0,0.0,-0.0,1000000.0,
2015-01-12,-24.043705938644905,0.0,1.0,0.0,0.0,0.0,1000000.0,
2015-01-13,-23.468571922803072,0.0,1.0,0.0,0.0,0.0,1000000.0,
2015-01-14,-22.74208565443047,0.0,1.0,0.0,0.0,0.0,1000000.0,
2015-01-15,-22.143185889733232,0.0,1.0,0.0,0.0,0.0,1000000.0,
2015-01-16,-21.77213853751524,0.0,1.0,0.0,0.0,0.0,1000000.0,
2015-01-20,-22.61444117324144,0.0,1.0,0.0,0.0,-0.0,1000000.0,
2015-01-21,-21.476031947641914,0.0,1.0,0.0,0.0,0.0,1000000.0,
2015-01-22,-20.876359613428647,0.0,1.0,0.0,0.0,0.0,1000000.0,
2015-01-23,-20.778592254461046,0.0,1.0,0.0,0.0,0.0,1000000.0,
2015-01-26,-21.29678462474711,0.0,1.0,0.0,0.0,-0.0,1000000.0,
2015-01-27,-21.56535703748171,0.0,1.0,0.0,0.0,-0.0,1000000.0,
2015-01-28,-21.47935713433729,0.0,1.0,0.0,0.0,0.0,1000000.0,
2015-01-29,-16.638314069969205,0.0,1.0,0.0,0.0,0.0,1000000.0,
2015-01-30,-14.6454410491436,2.985013920622105,1.0,1.2358193815964136,1.2358193815964136,-0.0018537290723946204,999999.998146271,Entry
2015-02-02,-16.96696285913893,1.742791895460081,1.0,0.6615457146784774,0.6615457146784774,-2.8698430580913947,999997.1283032129,
2015-02-03,-17.871206410079814,1.2540888516807358,1.0,0.4599501944039092,0.4599501944039092,-0.5985008394310026,999996.5298023735,
2015-02-04,-18.192407734542705,1.027745841680078,1.0,0.37040394637547325,0.37040394637547325,-0.1478709310015423,999996.3819314425,
2015-02-05,-18.60556931418448,0.7935386838644226,1.0,0.28852396123627577,0.28852396123627577,-0.15315949956774605,999996.228771943,
2015-02-06,-17.382171364391937,1.1232512058142679,1.0,0.4113809860078917,0.4113809860078917,0.3527953371053251,999996.5815672801,
2015-02-09,-18.039904091077382,0.8001991116221685,1.0,0.30636883007810156,0.30636883007810156,-0.27073625586741235,999996.3108310242,
2015-02-10,-19.66314494847464,0.10134308210600933,1.0,0.041453697745101575,0.041453697745101575,-0.4977077751142714,999995.8131232491,
2015-02-11,-19.6782986085666,0.018759971062134416,1.0,0.008167644599966132,0.008167644599966132,-0.0006781043249018744,999995.8124451448,
2015-02-12,-19.451857002008538,0.048081611716746596,1.0,0.022013494654215534,0.022013494654215534,0.0018287257899302356,999995.8142738706,
2015-02-13,-19.473237014609147,-0.023768322097290084,1.0,0.011330802492083233,0.011330802492083233,-0.0004866728313337693,999995.8137871977,
2015-02-17,-19.726389405728895,-0.20007214458613526,1.0,0.09876402247468032,0.09876402247468032,-0.0029995695741503675,999995.8107876282,
2015-02-18,-19.7107567733063,-0.28513030889612145,1.0,0.15200402405504168,0.15200402405504168,0.001464081657552986,999995.8122517099,
